,destination_state,year,population,same_house,same_state,from_different_state_Total,abroad_Total,from,number_of_people
198,Tennessee,2013,6419226,5429144,779329,186525,24228,Alabama,8500
199,Texas,2013,26087349,21658382,3695565,548034,185368,Alabama,8404
200,Utah,2013,2854667,2361079,377528,97869,18191,Alabama,574
201,Vermont,2013,621256,542002,53684,23180,2390,Alabama,27
202,Virginia,2013,8163664,6874626,962359,266348,60331,Alabama,4894
203,Washington,2013,6888552,5700703,927367,208215,52267,Alabama,686
204,West Virginia,2013,1837863,1621269,161679,51957,2958,Alabama,196
205,Wisconsin,2013,5681024,4872672,688588,100846,18918,Alabama,294
206,Wyoming,2013,575933,469511,76905,27584,1933,Alabama,40
207,Puerto Rico,2013,3579220,3329074,221047,24652,4447,Alabama,293
208,Alabama,2014,4791931,4081522,589211,107919,13279,Alabama,0
209,Alaska,2014,725206,585916,97358,37842,4090,Alabama,603
210,Arizona,2014,6651964,5431241,922129,249730,48864,Alabama,785
211,Arkansas,2014,2931123,2464189,383087,74741,9106,Alabama,2145
212,California,2014,38340324,32849251,4659084,513968,318021,Alabama,10439
213,Colorado,2014,5293943,4263998,777699,218728,33518,Alabama,1004
214,Connecticut,2014,3558915,3111779,334207,82746,30183,Alabama,275
215,Delaware,2014,924770,810905,77246,32166,4453,Alabama,46
216,District of Columbia ,2014,648586,513634,67286,56234,11432,Alabama,251
217,Florida,2014,19683763,16504838,2436619,546501,195805,Alabama,15731
218,Georgia,2014,9970167,8406436,1238139,274095,51497,Alabama,18778
219,Hawaii,2014,1401004,1198766,131974,58144,12120,Alabama,510
220,Idaho,2014,1613068,1335689,207055,64633,5691,Alabama,166
221,Illinois,2014,12730206,11021611,1430902,209536,68157,Alabama,1566
222,Indiana,2014,6516181,5540754,810518,139846,25063,Alabama,1229
223,Iowa,2014,3067872,2594781,379518,79194,14379,Alabama,641
224,Kansas,2014,2866584,2378716,376239,96467,15162,Alabama,830
225,Kentucky,2014,4357819,3663490,575429,104975,13925,Alabama,1409
226,Louisiana,2014,4593505,3970442,511702,97814,13547,Alabama,4808
227,Maine,2014,1317638,1138397,134611,39065,5565,Alabama,0
228,Maryland,2014,5911235,5091903,615601,156787,46944,Alabama,770
229,Massachusetts,2014,6674907,5784744,672510,146622,71031,Alabama,519
230,Michigan,2014,9795659,8336037,1261495,149991,48136,Alabama,2362
231,Minnesota,2014,5385219,4612655,635880,106783,29901,Alabama,392
232,Mississippi,2014,2957658,2554296,321236,73927,8199,Alabama,6816
233,Missouri,2014,5992195,5042396,776519,153320,19960,Alabama,2807
234,Montana,2014,1012169,845142,126508,37561,2958,Alabama,134
235,Nebraska,2014,1855356,1541744,252232,52200,9180,Alabama,510
236,Nevada,2014,2806170,2235861,426512,130390,13407,Alabama,475
237,New Hampshire,2014,1314735,1134514,133298,41393,5530,Alabama,44
238,New Jersey,2014,8840346,7961796,686056,128911,63583,Alabama,216
239,New Mexico,2014,2060189,1770053,212456,68917,8763,Alabama,41
240,New York,2014,19528220,17418181,1693064,258571,158404,Alabama,1662
241,North Carolina,2014,9832152,8332705,1166928,286533,45986,Alabama,4264
242,North Dakota,2014,729874,602508,85084,39059,3223,Alabama,402
243,Ohio,2014,11464891,9742065,1484132,196742,41952,Alabama,1189
244,Oklahoma,2014,3827288,3148699,550149,111346,17094,Alabama,993
245,Oregon,2014,3927857,3196441,571056,137008,23352,Alabama,156
246,Pennsylvania,2014,12645888,11103966,1241534,232889,67499,Alabama,1535
247,Rhode Island,2014,1045791,906936,98869,32621,7365,Alabama,347
248,South Carolina,2014,4780659,4046123,542930,171969,19637,Alabama,3219
249,South Dakota,2014,842076,701352,109496,28198,3030,Alabama,0
250,Tennessee,2014,6471445,5465071,796577,182130,27667,Alabama,9640
251,Texas,2014,26588600,22151594,3681042,538572,217392,Alabama,6437
252,Utah,2014,2894001,2407608,374578,90234,21581,Alabama,365
253,Vermont,2014,620898,536915,59850,22635,1498,Alabama,0
254,Virginia,2014,8224054,6891144,995822,262477,74611,Alabama,2654
255,Washington,2014,6979369,5757065,934922,220259,67123,Alabama,1640
256,West Virginia,2014,1831414,1617510,162340,47957,3607,Alabama,144
257,Wisconsin,2014,5692727,4868506,688104,117831,18286,Alabama,452
258,Wyoming,2014,577782,475740,74601,25992,1449,Alabama,254
259,Puerto Rico,2014,3511186,3251389,237197,19771,2829,Alabama,50
260,Alabama,2015,4801599,4113945,561019,114876,11759,Alabama,0
261,Alaska,2015,727862,582909,105769,34696,4488,Alabama,279
262,Arizona,2015,6747595,5536087,910911,253281,47316,Alabama,607
263,Arkansas,2015,2938341,2440359,407352,81594,9036,Alabama,956
264,California,2015,38675135,33446324,4377667,514477,336667,Alabama,5273
265,Colorado,2015,5393067,4404058,728077,227445,33487,Alabama,2392
266,Connecticut,2015,3554844,3109580,340126,76997,28141,Alabama,163
267,Delaware,2015,935813,800701,86009,44495,4608,Alabama,76
268,District of Columbia ,2015,663006,525024,67188,59905,10889,Alabama,359
269,Florida,2015,20068392,16832374,2438828,584938,212252,Alabama,15449
270,Georgia,2015,10088525,8489689,1259007,283325,56504,Alabama,16372
271,Hawaii,2015,1414355,1206066,136796,53742,17751,Alabama,240
272,Idaho,2015,1635366,1333758,218791,73809,9008,Alabama,564
273,Illinois,2015,12706393,11029917,1399829,209828,66819,Alabama,1853
274,Indiana,2015,6540691,5527512,843210,147529,22440,Alabama,2130
275,Iowa,2015,3081446,2598298,386465,85937,10746,Alabama,285
276,Kansas,2015,2875640,2405677,360715,91340,17908,Alabama,717
277,Kentucky,2015,4373403,3706705,543811,106918,15969,Alabama,1463
278,Louisiana,2015,4612024,4007364,496223,93321,15116,Alabama,3318
279,Maine,2015,1317444,1127394,156271,30123,3656,Alabama,0
280,Maryland,2015,5934005,5076791,638788,168894,49532,Alabama,1526
281,Massachusetts,2015,6725678,5893936,634359,132642,64741,Alabama,269
282,Michigan,2015,9811416,8394658,1229302,142639,44817,Alabama,1387
283,Minnesota,2015,5419822,4618325,661383,108476,31638,Alabama,105
284,Mississippi,2015,2959289,2554660,327854,69351,7424,Alabama,6827
285,Missouri,2015,6015580,5056661,777061,159152,22706,Alabama,1449
286,Montana,2015,1019646,855861,118200,42760,2825,Alabama,0
287,Nebraska,2015,1869217,1570592,236217,52950,9458,Alabama,32
288,Nevada,2015,2859489,2291842,413831,135999,17817,Alabama,1830
289,New Hampshire,2015,1318121,1134482,122442,53446,7751,Alabama,125
290,New Jersey,2015,8854363,7987859,656570,144074,65860,Alabama,250
291,New Mexico,2015,2060441,1767704,228103,55753,8881,Alabama,356
292,New York,2015,19570171,17506652,1653268,257611,152640,Alabama,850
293,North Carolina,2015,9927547,8376304,1194157,310612,46474,Alabama,3733
294,North Dakota,2015,745291,608377,90498,42618,3798,Alabama,0
295,Ohio,2015,11482142,9719944,1508889,203475,49834,Alabama,2038
296,Oklahoma,2015,3864908,3202689,532976,110878,18365,Alabama,957
297,Oregon,2015,3985712,3277453,544776,141162,22321,Alabama,654
298,Pennsylvania,2015,12662192,11109753,1258572,232683,61184,Alabama,1663
299,Rhode Island,2015,1045062,901338,97722,38344,7658,Alabama,39
300,South Carolina,2015,4839984,4106166,543488,170366,19964,Alabama,1854
301,South Dakota,2015,848285,702122,116343,26962,2858,Alabama,14
302,Tennessee,2015,6522259,5535963,766524,195923,23849,Alabama,10291
303,Texas,2015,27092848,22723345,3594282,553032,222189,Alabama,7167
304,Utah,2015,2947423,2435722,390649,97361,23691,Alabama,369
305,Vermont,2015,619952,532319,62067,21232,4334,Alabama,245
306,Virginia,2015,8283737,6952362,983569,277715,70091,Alabama,2888
